Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SE9S01,2011.04,950.54324,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2011.05,954.8806912,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2011.06,955.1498258,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2011.07,967.6074109,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2011.08,958.0928612,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2011.09,953.0233448,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2011.1,949.0623907,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2011.11,951.1798246,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2011.12,956.4810553,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2012.01,947.1921681,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2012.02,954.8239674,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2012.03,949.7866354,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
